@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R5,8,12,4,20,23'

@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute gill-size {b,n}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute bruises? {f,t}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute class {e,p}

@data
a,b,s,t,n,e
a,b,s,t,n,e
l,n,s,t,u,e
n,n,s,f,k,e
n,b,s,f,k,e
a,b,s,t,n,e
a,b,s,t,n,e
p,n,s,t,k,p
l,b,s,t,k,e
p,n,s,t,k,p
l,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
n,b,s,f,k,e
l,b,s,t,n,e
p,n,s,t,n,p
a,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,n,e
n,n,s,f,n,e
n,n,s,f,k,e
l,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,k,e
n,b,f,f,k,e
a,n,s,t,n,e
p,n,s,t,k,p
n,b,f,f,k,e
a,b,s,t,k,e
l,n,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
n,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
n,b,s,f,n,e
l,b,s,t,k,e
p,n,s,t,n,p
l,b,s,t,k,e
a,n,s,t,n,e
a,b,s,t,n,e
p,n,s,t,k,p
a,n,s,t,n,e
a,b,s,t,k,e
l,n,s,t,n,e
l,n,s,t,n,e
l,b,s,t,n,e
a,n,s,t,u,e
a,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,n,p
l,b,s,t,k,e
a,b,s,t,k,e
p,n,s,t,k,p
l,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
n,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,k,e
a,n,s,t,n,e
l,b,s,t,n,e
n,b,s,f,n,e
l,n,s,t,n,e
a,b,s,t,n,e
n,b,s,f,k,e
n,n,s,f,n,e
n,b,f,f,n,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
n,n,s,f,n,e
a,b,s,t,n,e
p,n,s,t,k,p
a,b,s,t,n,e
a,b,s,t,n,e
n,b,s,f,n,e
n,b,f,f,k,e
n,b,f,f,k,e
a,b,s,t,n,e
a,b,s,t,k,e
n,n,s,f,k,e
a,b,s,t,n,e
a,n,s,t,u,e
a,b,s,t,n,e
n,b,s,f,k,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
n,n,s,f,n,e
a,b,s,t,k,e
l,b,s,t,k,e
n,n,s,f,k,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,n,e
p,n,s,t,k,p
n,b,f,f,n,e
a,b,s,t,k,e
a,b,s,t,n,e
n,b,s,t,n,e
p,n,s,t,n,p
l,b,s,t,k,e
n,b,s,f,k,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,n,e
n,n,s,f,n,e
a,b,s,t,k,e
n,b,f,f,n,e
l,b,s,t,n,e
l,b,s,t,n,e
n,n,s,f,k,e
p,n,s,t,n,p
l,b,s,t,n,e
a,b,s,t,k,e
p,n,s,t,n,p
l,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,n,e
n,b,f,f,k,e
l,b,s,t,n,e
l,b,s,t,k,e
p,n,s,t,k,p
a,b,s,t,n,e
l,n,s,t,u,e
p,n,s,t,k,p
l,b,s,t,k,e
n,b,f,f,n,e
l,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,n,p
l,b,s,t,k,e
l,b,s,t,n,e
a,n,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
n,b,f,f,k,e
n,n,s,f,n,e
a,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,k,e
l,n,s,t,n,e
a,b,s,t,k,e
a,n,s,t,u,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,k,e
n,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,k,e
l,n,s,t,n,e
l,b,s,t,n,e
n,b,s,f,k,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
n,n,s,f,k,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,n,s,t,u,e
n,n,s,f,k,e
l,n,s,t,n,e
n,n,s,f,k,e
n,n,s,f,n,e
a,b,s,t,n,e
a,n,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,k,e
l,n,s,t,u,e
n,n,s,f,k,e
a,n,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,n,s,t,u,e
p,n,s,t,n,p
p,n,s,t,n,p
l,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
n,b,f,f,n,e
a,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,n,p
n,b,s,f,n,e
n,b,f,f,n,e
a,n,s,t,n,e
n,n,s,f,n,e
n,n,s,f,n,e
a,b,s,t,k,e
a,n,s,t,u,e
n,n,s,f,n,e
n,n,s,f,n,e
n,b,f,f,n,e
l,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,n,p
n,n,s,f,k,e
l,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
n,n,s,f,k,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,k,e
p,n,s,t,k,p
l,b,s,t,k,e
p,n,s,t,k,p
n,b,f,f,k,e
a,b,s,t,k,e
n,n,s,f,k,e
l,b,s,t,n,e
a,n,s,t,u,e
a,b,s,t,k,e
n,b,s,f,k,e
p,n,s,t,n,p
a,b,s,t,k,e
n,b,s,f,k,e
a,b,s,t,k,e
l,b,s,t,n,e
n,n,s,f,n,e
l,n,s,t,u,e
a,b,s,t,n,e
n,n,s,f,n,e
n,b,f,f,n,e
l,b,s,t,k,e
l,n,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
p,n,s,t,k,p
l,n,s,t,u,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,n,e
a,n,s,t,u,e
a,n,s,t,u,e
n,b,f,f,k,e
a,b,s,t,n,e
p,n,s,t,k,p
a,b,s,t,n,e
n,b,s,f,k,e
p,n,s,t,n,p
a,b,s,t,k,e
a,b,s,t,k,e
l,n,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,n,e
l,b,s,t,n,e
p,n,s,t,n,p
a,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
n,n,s,f,k,e
n,n,s,f,k,e
n,n,s,f,k,e
a,b,s,t,k,e
p,n,s,t,k,p
n,b,s,f,k,e
l,b,s,t,k,e
p,n,s,t,n,p
a,b,s,t,k,e
p,n,s,t,k,p
l,b,s,t,k,e
l,b,s,t,k,e
p,n,s,t,n,p
p,n,s,t,k,p
n,b,s,f,n,e
l,b,s,t,n,e
n,b,f,f,n,e
l,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
n,b,s,f,n,e
a,b,s,t,k,e
l,b,s,t,k,e
n,n,s,f,k,e
n,b,f,f,n,e
n,b,s,f,n,e
n,b,s,f,k,e
p,n,s,t,n,p
l,b,s,t,k,e
l,b,s,t,k,e
n,b,s,f,k,e
l,b,s,t,k,e
a,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,k,e
l,b,s,t,n,e
l,n,s,t,u,e
a,b,s,t,k,e
n,n,s,f,k,e
l,b,s,t,k,e
l,n,s,t,u,e
n,n,s,f,k,e
a,b,s,t,n,e
a,b,s,t,k,e
n,b,s,f,n,e
a,b,s,t,k,e
n,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
n,b,s,f,k,e
a,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,k,e
l,n,s,t,u,e
a,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,k,e
l,n,s,t,u,e
a,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,k,e
p,n,s,t,k,p
p,n,s,t,k,p
l,b,s,t,n,e
n,b,s,f,n,e
a,b,s,t,k,e
l,b,s,t,k,e
n,n,s,f,n,e
a,b,s,t,k,e
l,b,s,t,k,e
p,n,s,t,k,p
p,n,s,t,n,p
l,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,k,e
n,n,s,f,n,e
n,b,s,f,k,e
l,n,s,t,u,e
l,b,s,t,n,e
n,n,s,f,k,e
n,n,s,f,n,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
l,n,s,t,n,e
a,b,s,t,n,e
a,n,s,t,u,e
a,b,s,t,k,e
n,b,s,t,n,e
a,b,s,t,k,e
n,n,s,f,k,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,n,e
n,b,f,f,n,e
p,n,s,t,n,p
a,b,s,t,n,e
a,b,s,t,n,e
p,n,s,t,k,p
p,n,s,t,n,p
n,b,f,f,n,e
p,n,s,t,k,p
n,b,s,f,n,e
l,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,k,e
n,n,s,f,k,e
a,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,k,e
n,b,f,f,n,e
l,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
n,n,s,f,k,e
a,b,s,t,n,e
a,b,s,t,k,e
l,n,s,t,n,e
n,b,s,f,n,e
a,b,s,t,k,e
p,n,s,t,n,p
l,b,s,t,n,e
n,b,f,f,n,e
a,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,k,e
n,b,f,f,n,e
p,n,s,t,n,p
p,n,s,t,k,p
l,b,s,t,k,e
a,b,s,t,n,e
a,n,s,t,n,e
p,n,s,t,k,p
l,b,s,t,k,e
n,n,s,f,k,e
n,n,s,f,k,e
a,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
p,n,s,t,n,p
a,n,s,t,u,e
a,b,s,t,n,e
l,b,s,t,n,e
a,n,s,t,u,e
l,b,s,t,k,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
n,b,f,f,n,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,k,e
n,b,s,f,k,e
l,n,s,t,n,e
n,n,s,f,n,e
a,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
a,n,s,t,n,e
n,b,f,f,k,e
a,b,s,t,n,e
p,n,s,t,n,p
a,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
n,n,s,f,k,e
l,b,s,t,k,e
l,b,s,t,k,e
a,b,s,t,k,e
p,n,s,t,k,p
n,n,s,f,k,e
l,b,s,t,n,e
p,n,s,t,n,p
l,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,n,p
p,n,s,t,n,p
l,b,s,t,k,e
n,b,f,f,k,e
p,n,s,t,n,p
l,b,s,t,n,e
a,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,n,p
l,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,k,e
l,b,s,t,n,e
l,n,s,t,n,e
a,b,s,t,k,e
a,b,s,t,k,e
p,n,s,t,k,p
p,n,s,t,n,p
p,n,s,t,k,p
a,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,k,e
a,n,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
n,n,s,f,k,e
a,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
l,n,s,t,n,e
a,n,s,t,u,e
l,b,s,t,n,e
l,n,s,t,u,e
n,n,s,f,k,e
a,n,s,t,n,e
l,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,n,e
p,n,s,t,n,p
l,b,s,t,n,e
p,n,s,t,n,p
a,b,s,t,k,e
a,b,s,t,k,e
a,n,s,t,u,e
p,n,s,t,n,p
a,b,s,t,n,e
n,n,s,f,k,e
a,b,s,t,k,e
n,b,s,f,n,e
a,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
l,n,s,t,u,e
l,b,s,t,n,e
a,b,s,t,k,e
n,n,s,f,n,e
n,b,f,f,n,e
n,n,s,f,k,e
l,b,s,t,k,e
l,n,s,t,u,e
a,b,s,t,n,e
a,b,s,t,k,e
p,n,s,t,k,p
l,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,k,e
n,n,s,f,n,e
l,b,s,t,n,e
n,n,s,f,n,e
l,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
a,b,s,t,n,e
n,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,n,e
l,b,s,t,k,e
l,b,s,t,n,e
l,b,s,t,n,e
a,n,s,t,n,e
n,b,s,f,n,e
a,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
a,n,s,t,u,e
a,b,s,t,n,e
a,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,n,e
n,b,s,t,n,e
l,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,n,e
l,b,s,t,n,e
l,b,s,t,n,e
a,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
l,b,s,t,k,e
n,b,f,f,n,e
n,b,f,f,k,e
n,b,f,f,n,e
l,b,s,t,n,e
n,b,f,f,k,e
p,n,s,t,k,p
n,b,f,f,n,e
p,n,s,t,n,p
p,n,s,t,n,p
l,b,s,t,k,e
n,b,f,f,k,e
l,b,s,t,k,e
n,b,s,f,k,e
n,b,s,f,k,e
a,b,s,t,n,e
l,b,s,t,n,e
n,b,s,t,n,e
n,b,f,f,n,e
n,b,s,f,k,e
n,b,f,f,k,e
n,b,f,f,n,e
l,b,s,t,k,e
l,n,s,t,u,e
n,b,f,f,n,e
n,b,f,f,n,e
n,b,f,f,k,e
p,n,s,t,k,p
n,n,s,f,n,e
a,b,s,t,n,e
n,b,s,f,k,e
n,b,s,f,n,e
p,n,s,t,n,p
l,b,s,t,n,e
n,n,s,f,k,e
n,b,s,f,k,e
a,b,s,t,k,e
n,b,s,f,k,e
n,b,f,f,k,e
n,b,s,t,n,e
a,b,s,t,n,e
n,b,f,f,k,e
p,n,s,t,n,p
n,b,s,f,n,e
n,b,s,t,n,e
n,b,f,f,n,e
n,b,f,f,k,e
l,b,s,t,k,e
n,b,f,f,k,e
p,n,s,t,n,p
p,n,s,t,n,p
l,b,s,t,k,e
n,b,s,f,n,e
n,b,s,f,n,e
n,b,f,f,n,e
l,b,s,t,k,e
p,n,s,t,k,p
n,b,s,t,k,e
l,n,s,t,u,e
l,b,s,t,n,e
n,b,f,f,k,e
n,b,f,f,k,e
n,b,s,t,k,e
n,b,s,t,n,e
n,b,f,f,k,e
n,b,s,f,k,e
p,n,s,t,k,p
n,b,s,t,k,e
n,b,f,f,k,e
n,b,s,f,k,e
n,b,f,f,n,e
n,b,s,t,k,e
n,b,s,t,k,e
n,b,s,f,k,e
n,b,s,t,k,e
n,b,f,f,k,e
l,b,s,t,k,e
n,b,s,t,k,e
l,b,s,t,n,e
n,b,f,f,k,e
n,b,s,t,n,e
l,b,s,t,k,e
n,b,s,f,k,e
n,b,s,f,n,e
p,n,s,t,k,p
n,b,f,f,n,e
n,b,f,f,k,e
n,b,s,f,n,e
n,b,s,f,k,e
l,b,s,t,n,e
l,b,s,t,k,e
n,b,s,f,k,e
n,b,f,f,n,e
n,n,s,f,k,e
n,b,s,f,k,e
n,b,f,f,k,e
l,b,s,t,n,e
a,n,s,t,u,e
l,b,s,t,n,e
p,n,s,t,k,p
n,b,s,t,k,e
l,b,s,t,n,e
n,b,s,f,n,e
p,n,s,t,k,p
l,b,s,t,n,e
n,b,s,f,n,e
n,b,f,f,n,e
n,b,f,f,n,e
n,b,s,f,n,e
l,b,s,t,n,e
a,b,s,t,n,e
n,b,s,f,k,e
a,b,s,t,n,e
n,b,s,f,k,e
n,b,f,f,k,e
a,n,s,t,u,e
l,b,s,t,n,e
n,b,s,t,n,e
p,n,s,t,n,p
n,b,s,t,k,e
n,b,f,f,n,e
a,b,s,t,k,e
a,b,s,t,k,e
a,b,s,t,n,e
p,n,s,t,k,p
p,n,s,t,n,p
n,n,s,f,n,e
l,n,s,t,u,e
l,b,s,t,k,e
n,b,s,f,k,e
n,b,s,t,n,e
p,n,s,t,k,p
n,b,s,f,n,e
n,b,s,f,n,e
n,b,s,f,n,e
n,b,f,f,k,e
a,b,s,t,k,e
a,n,s,t,n,e
n,n,s,f,k,e
p,n,s,t,k,p
a,b,s,t,n,e
a,b,s,t,k,e
n,b,s,f,k,e
n,b,s,t,n,e
n,b,f,f,n,e
a,b,s,t,n,e
n,b,s,f,n,e
p,n,s,t,n,p
n,b,s,t,k,e
n,b,f,f,k,e
n,b,s,t,k,e
n,b,s,t,k,e
n,b,s,f,n,e
l,b,s,t,n,e
n,b,f,f,k,e
l,b,s,t,k,e
l,n,s,t,n,e
n,b,s,f,n,e
l,b,s,t,k,e
n,b,s,f,n,e
n,b,s,f,n,e
l,n,s,t,n,e
n,b,f,f,n,e
n,b,f,f,n,e
p,n,s,t,k,p
l,n,s,t,u,e
a,b,s,t,k,e
n,b,f,f,n,e
n,b,s,t,k,e
l,b,s,t,n,e
n,b,s,f,n,e
p,n,s,t,n,p
a,b,s,t,n,e
n,b,s,t,k,e
l,b,s,t,k,e
n,b,f,f,k,e
n,n,s,f,n,e
p,n,s,t,n,p
n,b,f,f,n,e
l,b,s,t,k,e
n,b,s,f,k,e
p,n,s,t,n,p
l,b,s,t,k,e
n,b,f,f,k,e
l,b,s,t,k,e
n,b,s,f,n,e
l,b,s,t,n,e
l,b,s,t,k,e
p,n,s,t,k,p
l,b,s,t,k,e
n,n,s,f,k,e
a,b,s,t,k,e
n,b,s,f,n,e
l,n,s,t,u,e
n,b,f,f,n,e
p,n,s,t,k,p
n,b,s,f,k,e
n,b,f,f,k,e
n,b,f,f,k,e
p,n,s,t,n,p
n,b,f,f,n,e
n,b,f,f,n,e
n,b,s,f,n,e
p,n,s,t,n,p
n,b,s,f,n,e
n,b,f,f,k,e
p,n,s,t,k,p
n,b,s,f,n,e
l,b,s,t,n,e
n,b,f,f,n,e
n,b,f,f,k,e
p,n,s,t,k,p
a,b,s,t,n,e
n,b,f,f,k,e
l,b,s,t,k,e
n,b,s,f,k,e
n,b,f,f,n,e
n,b,f,f,n,e
n,b,f,f,k,e
n,b,s,f,n,e
n,b,f,f,k,e
n,b,s,f,k,e
n,b,f,f,n,e
n,b,s,t,k,e
a,n,s,t,u,e
n,b,s,f,k,e
n,b,s,f,k,e
a,b,s,t,n,e
n,b,s,f,n,e
n,b,s,f,k,e
p,n,s,t,n,p
n,b,f,f,k,e
p,n,s,t,k,p
n,b,f,f,n,e
a,b,s,t,k,e
n,b,s,f,k,e
n,b,s,t,n,e
l,b,s,t,n,e
