@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R9,8,6,5,2,23'

@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute gill-size {b,n}
@attribute gill-attachment {a,d,f,n}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute cap-surface {f,g,s,y}
@attribute class {e,p}

@data
p,n,f,l,s,e
k,n,f,n,f,e
k,n,f,p,s,p
g,b,f,a,y,e
p,n,f,p,y,p
k,b,f,n,s,e
g,b,f,l,s,e
n,b,f,n,s,e
w,b,f,a,s,e
h,b,f,n,f,e
n,b,f,l,s,e
n,b,f,l,s,e
w,b,f,l,s,e
w,b,f,l,y,e
w,n,f,l,s,e
g,b,f,l,y,e
p,n,f,a,s,e
w,n,f,p,y,p
w,n,f,l,f,e
n,b,f,a,y,e
p,n,f,p,s,p
w,b,f,l,s,e
w,b,f,a,y,e
g,b,f,l,y,e
k,n,f,n,f,e
w,b,f,a,y,e
k,b,f,a,y,e
k,b,f,n,f,e
k,b,f,n,f,e
w,b,f,l,y,e
k,b,f,l,s,e
g,b,f,a,y,e
w,b,f,a,y,e
p,b,f,n,s,e
g,b,f,l,y,e
k,n,f,n,f,e
w,n,f,a,s,e
w,b,f,l,y,e
k,b,f,a,y,e
k,b,f,a,y,e
n,b,f,a,y,e
g,b,f,a,s,e
g,b,f,l,s,e
n,b,f,a,y,e
k,n,f,n,f,e
n,b,f,l,y,e
k,b,f,a,y,e
w,b,f,l,y,e
w,b,f,a,s,e
w,b,f,a,s,e
w,b,f,l,y,e
k,b,f,a,s,e
g,n,f,n,f,e
k,b,f,l,s,e
n,n,f,l,f,e
w,b,f,a,y,e
p,b,f,l,y,e
w,b,f,l,y,e
k,b,f,a,y,e
g,b,f,a,y,e
g,b,f,l,y,e
g,b,f,l,s,e
p,n,f,p,y,p
g,n,f,n,f,e
g,n,f,n,f,e
g,b,f,a,s,e
p,b,f,a,y,e
k,n,f,p,y,p
g,b,f,l,s,e
p,n,f,n,f,e
g,b,f,l,y,e
w,b,f,a,y,e
p,b,f,n,f,e
w,n,f,l,s,e
w,b,f,l,s,e
w,n,f,a,s,e
k,b,f,a,s,e
g,n,f,n,f,e
n,b,f,a,s,e
g,b,f,l,s,e
n,b,f,l,y,e
n,n,f,a,s,e
w,b,f,l,y,e
w,b,f,l,s,e
g,b,f,a,s,e
h,b,f,n,f,e
n,b,f,l,y,e
k,n,f,p,s,p
n,b,f,a,s,e
k,b,f,a,s,e
n,b,f,l,y,e
w,b,f,a,y,e
w,b,f,a,s,e
w,b,f,l,s,e
n,n,f,a,f,e
n,n,f,n,f,e
n,b,f,a,y,e
n,b,f,l,s,e
g,b,f,a,s,e
k,b,f,a,y,e
w,b,f,l,y,e
p,n,f,n,f,e
n,b,f,a,s,e
k,n,f,p,s,p
n,b,f,a,y,e
p,n,f,a,f,e
g,b,f,l,y,e
n,b,f,l,y,e
g,b,f,a,s,e
g,b,f,a,s,e
p,n,f,p,y,p
n,b,f,a,s,e
n,n,f,n,f,e
k,n,f,p,y,p
n,b,f,l,y,e
k,n,f,n,f,e
k,b,f,l,s,e
w,n,f,l,f,e
w,b,f,l,y,e
n,b,f,l,y,e
n,b,f,l,y,e
p,b,f,a,y,e
w,b,f,a,y,e
w,b,f,l,s,e
w,b,f,a,s,e
n,n,f,p,s,p
p,n,f,a,f,e
w,b,f,l,s,e
p,n,f,l,s,e
n,b,f,a,y,e
w,b,f,l,y,e
p,b,f,n,s,e
w,b,f,a,y,e
p,n,f,p,s,p
g,n,f,n,f,e
w,b,f,l,y,e
n,b,f,l,s,e
k,b,f,l,y,e
k,n,f,n,f,e
w,b,f,a,s,e
g,b,f,l,y,e
g,b,f,a,y,e
w,b,f,l,y,e
k,n,f,p,y,p
n,b,f,a,s,e
n,b,f,a,y,e
w,n,f,l,f,e
g,n,f,n,f,e
p,b,f,n,s,e
g,b,f,a,y,e
k,b,f,a,s,e
w,n,f,p,y,p
n,b,f,l,s,e
w,n,f,p,s,p
k,b,f,l,y,e
k,b,f,a,y,e
n,b,f,a,y,e
w,b,f,a,y,e
w,b,f,a,y,e
w,b,f,a,y,e
h,b,f,n,f,e
k,b,f,l,s,e
w,n,f,p,y,p
n,b,f,a,y,e
p,n,f,n,f,e
k,b,f,l,s,e
n,b,f,l,y,e
n,b,f,a,y,e
g,b,f,a,y,e
g,b,f,a,y,e
n,b,f,l,y,e
p,n,f,n,f,e
g,n,f,n,f,e
n,b,f,l,y,e
n,b,f,l,s,e
k,b,f,l,y,e
g,b,f,a,s,e
g,b,f,a,s,e
k,b,f,a,s,e
p,b,f,n,f,e
p,n,f,a,s,e
p,n,f,p,y,p
k,b,f,n,f,e
w,b,f,a,y,e
w,n,f,l,s,e
n,b,f,a,y,e
g,b,f,l,y,e
p,b,f,n,f,e
k,b,f,l,y,e
g,b,f,l,s,e
p,b,f,a,y,e
n,b,f,n,f,e
w,b,f,l,s,e
n,n,f,p,y,p
n,b,f,l,y,e
p,n,f,a,f,e
g,b,f,a,s,e
k,n,f,p,y,p
w,n,f,a,s,e
k,b,f,a,y,e
n,n,f,l,f,e
w,n,f,l,s,e
k,b,f,l,y,e
w,n,f,a,f,e
w,b,f,a,s,e
n,b,f,a,y,e
p,b,f,l,y,e
k,b,f,l,y,e
n,b,f,a,s,e
n,n,f,p,y,p
w,b,f,l,s,e
g,b,f,a,y,e
w,n,f,p,y,p
n,b,f,l,s,e
w,b,f,l,y,e
n,b,f,a,y,e
g,b,f,l,y,e
p,b,f,n,f,e
w,b,f,a,y,e
n,b,f,l,s,e
g,n,f,n,f,e
n,b,f,l,y,e
k,b,f,a,s,e
n,b,f,a,y,e
g,b,f,a,s,e
p,n,f,a,f,e
g,b,f,l,y,e
n,b,f,n,f,e
n,n,f,l,f,e
n,b,f,a,s,e
n,b,f,n,s,e
g,n,f,n,f,e
h,b,f,n,s,e
p,b,f,a,y,e
k,b,f,a,y,e
k,b,f,a,s,e
w,b,f,l,y,e
g,n,f,n,f,e
p,b,f,a,y,e
k,n,f,p,y,p
p,b,f,a,y,e
w,b,f,a,y,e
h,b,f,n,f,e
p,b,f,n,f,e
k,b,f,n,s,e
n,b,f,a,y,e
w,b,f,a,s,e
p,n,f,n,f,e
w,b,f,a,y,e
p,n,f,a,f,e
g,b,f,a,y,e
n,b,f,n,f,e
w,b,f,a,y,e
n,b,f,l,y,e
w,b,f,a,s,e
n,n,f,n,f,e
k,b,f,a,s,e
n,b,f,l,s,e
k,n,f,n,f,e
n,b,f,l,y,e
k,b,f,l,y,e
k,b,f,a,y,e
p,n,f,p,y,p
k,b,f,n,s,e
w,b,f,a,y,e
g,b,f,a,s,e
n,b,f,n,f,e
w,n,f,p,s,p
w,b,f,l,y,e
n,b,f,n,s,e
n,b,f,l,y,e
w,b,f,a,s,e
n,b,f,a,s,e
g,b,f,l,s,e
n,b,f,a,y,e
k,n,f,n,f,e
w,b,f,a,y,e
h,b,f,n,f,e
k,b,f,l,s,e
w,b,f,l,y,e
n,n,f,n,f,e
p,n,f,p,s,p
w,b,f,l,y,e
n,b,f,a,y,e
p,n,f,p,y,p
w,b,f,l,s,e
k,b,f,l,s,e
n,b,f,l,y,e
n,b,f,l,y,e
g,b,f,a,s,e
g,b,f,a,s,e
w,b,f,l,y,e
w,b,f,a,s,e
n,b,f,n,s,e
n,b,f,l,y,e
n,b,f,l,y,e
k,n,f,p,y,p
w,b,f,a,y,e
p,n,f,l,f,e
w,n,f,p,s,p
k,b,f,l,y,e
h,b,f,n,f,e
n,b,f,l,y,e
w,b,f,a,y,e
p,n,f,p,y,p
w,b,f,l,y,e
n,b,f,l,s,e
n,n,f,a,s,e
n,b,f,a,y,e
k,b,f,a,s,e
p,b,f,n,s,e
n,n,f,n,f,e
g,b,f,a,y,e
n,b,f,l,y,e
g,b,f,l,s,e
w,b,f,l,s,e
n,n,f,l,s,e
w,b,f,a,s,e
n,n,f,a,f,e
g,b,f,l,y,e
k,b,f,l,y,e
p,b,f,a,y,e
n,b,f,l,y,e
g,b,f,l,y,e
p,b,f,a,y,e
n,b,f,l,y,e
w,b,f,l,s,e
p,b,f,l,y,e
n,b,f,l,s,e
n,b,f,l,y,e
w,b,f,l,s,e
n,b,f,n,f,e
k,b,f,l,y,e
g,b,f,l,s,e
g,b,f,l,s,e
p,n,f,l,f,e
g,b,f,l,s,e
h,b,f,n,s,e
k,b,f,a,s,e
w,b,f,l,s,e
n,b,f,a,y,e
w,b,f,a,y,e
k,b,f,a,s,e
n,b,f,l,y,e
g,b,f,a,s,e
w,b,f,a,y,e
k,n,f,n,f,e
p,b,f,a,y,e
g,b,f,a,s,e
g,b,f,l,s,e
g,b,f,l,y,e
w,b,f,a,y,e
g,b,f,l,y,e
w,b,f,a,y,e
n,n,f,a,f,e
k,n,f,n,f,e
n,n,f,l,s,e
k,n,f,n,f,e
p,n,f,n,f,e
w,b,f,a,y,e
p,n,f,a,s,e
n,b,f,l,y,e
k,b,f,a,y,e
g,b,f,l,y,e
p,n,f,l,s,e
g,n,f,n,f,e
w,n,f,a,s,e
p,b,f,a,y,e
w,b,f,l,y,e
p,n,f,n,f,e
n,b,f,l,y,e
n,b,f,a,y,e
n,n,f,a,f,e
p,n,f,p,s,p
k,n,f,p,s,p
w,b,f,l,y,e
w,b,f,a,y,e
k,b,f,a,s,e
h,b,f,n,f,e
p,b,f,a,y,e
n,b,f,a,y,e
w,b,f,l,s,e
w,b,f,a,s,e
g,b,f,a,y,e
g,b,f,l,s,e
w,b,f,a,s,e
w,b,f,a,y,e
n,n,f,p,s,p
p,b,f,n,s,e
p,b,f,n,s,e
n,n,f,a,f,e
p,n,f,n,f,e
k,n,f,n,f,e
k,b,f,a,y,e
n,n,f,a,f,e
n,n,f,n,f,e
k,n,f,n,f,e
h,b,f,n,f,e
n,b,f,l,y,e
k,b,f,a,s,e
k,b,f,l,y,e
k,b,f,a,y,e
w,b,f,l,s,e
n,b,f,l,s,e
p,b,f,a,y,e
n,n,f,p,s,p
n,n,f,n,f,e
w,b,f,l,s,e
w,b,f,a,y,e
k,b,f,a,s,e
k,n,f,n,f,e
w,b,f,a,y,e
n,b,f,a,y,e
n,b,f,a,s,e
n,n,f,p,y,p
w,b,f,l,y,e
k,n,f,p,s,p
k,b,f,n,f,e
k,b,f,a,y,e
p,n,f,n,f,e
g,b,f,l,y,e
p,n,f,a,s,e
n,b,f,a,s,e
p,b,f,n,f,e
n,n,f,p,y,p
p,b,f,a,y,e
n,b,f,n,f,e
w,b,f,a,s,e
g,b,f,l,y,e
g,n,f,n,f,e
p,n,f,l,f,e
g,b,f,a,s,e
n,n,f,n,f,e
h,b,f,n,f,e
p,b,f,l,y,e
p,n,f,l,s,e
k,b,f,l,s,e
p,b,f,a,y,e
k,n,f,p,y,p
w,n,f,l,f,e
w,b,f,l,s,e
g,b,f,a,y,e
g,b,f,a,s,e
w,n,f,a,s,e
n,n,f,a,s,e
n,b,f,n,f,e
w,b,f,a,s,e
w,n,f,p,y,p
g,b,f,a,y,e
k,b,f,n,s,e
n,n,f,p,s,p
w,b,f,a,y,e
k,b,f,a,s,e
n,n,f,l,f,e
k,b,f,a,s,e
w,b,f,l,y,e
w,b,f,a,y,e
w,b,f,l,s,e
p,n,f,n,f,e
n,b,f,l,s,e
w,b,f,l,y,e
w,n,f,p,s,p
g,b,f,a,s,e
w,b,f,a,s,e
k,b,f,l,y,e
n,b,f,a,y,e
w,b,f,a,y,e
k,b,f,a,y,e
g,n,f,n,f,e
n,n,f,n,f,e
n,n,f,n,f,e
n,b,f,a,y,e
k,n,f,p,s,p
h,b,f,n,s,e
g,b,f,l,y,e
k,n,f,p,y,p
g,b,f,a,s,e
p,n,f,p,s,p
n,b,f,l,s,e
g,b,f,l,y,e
p,n,f,p,y,p
n,n,f,p,s,p
n,b,f,n,s,e
w,b,f,l,y,e
k,b,f,n,f,e
n,b,f,l,y,e
w,b,f,l,y,e
n,b,f,a,s,e
n,b,f,n,s,e
n,b,f,a,y,e
w,b,f,l,s,e
n,n,f,n,f,e
h,b,f,n,s,e
n,b,f,n,f,e
p,b,f,n,s,e
k,n,f,p,s,p
p,b,f,l,y,e
g,b,f,l,s,e
p,b,f,n,f,e
g,b,f,l,y,e
n,b,f,a,s,e
n,n,f,n,f,e
p,b,f,l,y,e
w,b,f,l,s,e
n,n,f,l,f,e
n,b,f,a,y,e
p,n,f,n,f,e
g,b,f,l,s,e
w,n,f,l,f,e
p,n,f,n,f,e
g,b,f,a,y,e
k,b,f,a,s,e
n,b,f,n,f,e
k,b,f,a,y,e
n,b,f,n,f,e
n,b,f,l,y,e
p,b,f,a,y,e
w,b,f,a,y,e
p,b,f,a,y,e
n,b,f,l,y,e
h,b,f,n,s,e
g,b,f,a,y,e
w,b,f,l,y,e
n,b,f,a,y,e
w,b,f,l,y,e
w,b,f,a,y,e
n,b,f,l,y,e
n,n,f,l,s,e
g,b,f,a,y,e
k,b,f,l,s,e
n,b,f,a,y,e
p,n,f,l,f,e
n,b,f,a,s,e
n,b,f,l,s,e
w,b,f,a,y,e
w,n,f,p,y,p
w,n,f,p,y,p
g,b,f,l,s,e
k,b,f,n,f,e
g,b,f,a,s,e
w,b,f,l,y,e
k,n,f,n,f,e
n,b,f,a,s,e
k,b,f,l,s,e
n,n,f,p,y,p
k,n,f,p,s,p
g,b,f,l,s,e
w,b,f,a,s,e
w,b,f,a,y,e
p,b,f,l,y,e
n,b,f,l,y,e
w,b,f,a,y,e
k,b,f,a,s,e
p,n,f,n,f,e
p,b,f,n,f,e
w,n,f,l,f,e
w,b,f,l,y,e
g,n,f,n,f,e
k,n,f,n,f,e
n,b,f,l,y,e
w,b,f,l,y,e
g,b,f,a,s,e
n,n,f,l,s,e
n,b,f,a,y,e
w,n,f,a,f,e
w,b,f,a,s,e
p,b,f,n,f,e
g,b,f,a,y,e
k,n,f,n,f,e
n,b,f,a,y,e
w,b,f,l,y,e
k,b,f,a,s,e
w,b,f,a,s,e
k,b,f,l,y,e
p,b,f,a,y,e
k,b,f,n,s,e
p,n,f,p,y,p
n,b,f,a,y,e
w,b,f,a,s,e
w,n,f,p,y,p
p,n,f,p,s,p
n,b,f,n,s,e
w,n,f,p,s,p
h,b,f,n,f,e
n,b,f,l,y,e
k,b,f,l,y,e
p,b,f,l,y,e
p,b,f,l,y,e
k,b,f,l,y,e
p,n,f,n,f,e
k,b,f,a,s,e
g,b,f,a,y,e
w,b,f,a,y,e
p,b,f,n,s,e
w,b,f,l,s,e
w,b,f,l,y,e
k,b,f,l,y,e
n,b,f,a,y,e
k,b,f,l,s,e
n,b,f,a,y,e
n,b,f,a,y,e
g,n,f,n,f,e
n,b,f,a,y,e
k,b,f,a,s,e
w,n,f,l,s,e
p,b,f,n,s,e
n,b,f,a,y,e
k,n,f,p,y,p
w,b,f,l,s,e
h,b,f,n,f,e
n,b,f,a,s,e
w,b,f,l,y,e
w,b,f,l,y,e
n,b,f,n,f,e
k,n,f,p,s,p
p,n,f,p,y,p
g,b,f,l,y,e
w,b,f,a,y,e
w,n,f,a,f,e
w,n,f,p,y,p
g,b,f,l,s,e
p,n,f,n,f,e
p,n,f,n,f,e
n,b,f,a,s,e
p,b,f,a,y,e
k,b,f,a,y,e
n,b,f,l,y,e
n,b,f,l,y,e
w,b,f,l,y,e
w,b,f,a,y,e
w,n,f,p,s,p
n,n,f,a,s,e
n,b,f,a,y,e
k,b,f,l,s,e
n,n,f,a,s,e
w,b,f,l,y,e
k,b,f,a,y,e
n,b,f,a,s,e
n,b,f,l,y,e
n,b,f,n,s,e
w,b,f,a,y,e
n,b,f,a,y,e
g,b,f,l,s,e
p,b,f,l,y,e
g,b,f,l,s,e
g,n,f,n,f,e
w,b,f,l,y,e
k,b,f,n,f,e
p,n,f,l,s,e
g,n,f,n,f,e
g,b,f,a,y,e
k,b,f,a,s,e
w,b,f,a,s,e
k,b,f,l,s,e
k,b,f,a,y,e
p,n,f,a,s,e
h,b,f,n,f,e
p,b,f,a,y,e
k,n,f,p,y,p
p,b,f,a,y,e
n,b,f,l,s,e
w,b,f,l,y,e
w,b,f,a,y,e
g,n,f,n,f,e
w,b,f,l,y,e
n,b,f,l,s,e
w,b,f,a,s,e
w,n,f,p,s,p
n,n,f,n,f,e
w,b,f,l,y,e
k,n,f,p,y,p
p,b,f,l,y,e
k,b,f,l,y,e
p,b,f,l,y,e
k,b,f,a,y,e
n,b,f,a,s,e
p,n,f,p,y,p
n,n,f,p,y,p
n,b,f,l,y,e
h,b,f,n,s,e
k,n,f,p,s,p
w,b,f,l,y,e
n,b,f,a,s,e
w,b,f,a,y,e
n,n,f,p,s,p
w,b,f,l,y,e
k,b,f,a,y,e
w,b,f,l,y,e
k,b,f,a,y,e
p,b,f,a,y,e
n,b,f,l,s,e
p,n,f,l,s,e
g,b,f,a,s,e
n,b,f,a,s,e
p,n,f,p,y,p
w,n,f,p,y,p
k,n,f,p,s,p
n,b,f,a,s,e
p,b,f,a,y,e
n,b,f,a,y,e
w,n,f,a,s,e
k,b,f,l,y,e
w,b,f,l,s,e
k,n,f,n,f,e
n,b,f,a,s,e
g,b,f,l,s,e
w,b,f,a,y,e
w,b,f,l,y,e
n,n,f,l,f,e
w,n,f,a,f,e
g,b,f,l,s,e
p,n,f,l,s,e
p,n,f,n,f,e
w,n,f,a,f,e
p,b,f,l,y,e
w,b,f,l,y,e
p,b,f,l,y,e
k,n,f,p,s,p
n,b,f,l,s,e
p,n,f,p,y,p
w,b,f,a,y,e
w,b,f,a,y,e
w,n,f,a,s,e
w,n,f,p,y,p
n,b,f,a,s,e
n,n,f,n,f,e
g,b,f,a,s,e
k,b,f,n,f,e
n,b,f,a,y,e
g,b,f,l,y,e
k,b,f,l,s,e
w,n,f,l,s,e
k,b,f,l,s,e
p,b,f,a,y,e
g,n,f,n,f,e
p,b,f,n,f,e
n,n,f,n,f,e
p,b,f,l,y,e
n,n,f,l,s,e
n,b,f,a,s,e
k,b,f,a,s,e
p,n,f,p,s,p
w,b,f,l,y,e
w,b,f,a,s,e
p,b,f,a,y,e
g,b,f,a,y,e
w,b,f,a,y,e
k,b,f,l,y,e
n,n,f,n,f,e
p,b,f,l,y,e
p,n,f,n,f,e
k,b,f,l,s,e
p,b,f,a,y,e
w,b,f,l,s,e
k,b,f,a,y,e
n,b,f,n,f,e
n,b,f,a,s,e
p,b,f,l,y,e
k,b,f,a,y,e
k,b,f,l,s,e
w,b,f,l,y,e
n,b,f,l,s,e
w,n,f,a,f,e
n,b,f,n,s,e
w,b,f,a,y,e
n,b,f,l,y,e
n,b,f,l,y,e
p,n,f,a,s,e
n,b,f,a,s,e
n,b,f,a,y,e
w,b,f,a,y,e
g,b,f,l,s,e
u,b,f,n,f,e
p,b,f,l,y,e
n,b,f,a,s,e
g,b,f,a,s,e
k,b,f,l,s,e
p,b,f,l,y,e
k,b,f,a,y,e
k,b,f,l,s,e
k,b,f,l,y,e
n,b,f,l,s,e
n,b,f,l,y,e
n,b,f,n,f,e
p,b,f,n,s,e
h,b,f,n,s,e
w,b,f,l,s,e
p,b,f,n,f,e
n,n,f,p,s,p
p,b,f,n,f,e
p,n,f,p,y,p
w,n,f,p,s,p
k,b,f,l,s,e
p,b,f,n,f,e
g,b,f,l,s,e
n,b,f,n,f,e
k,b,f,n,s,e
k,b,f,a,s,e
n,b,f,l,s,e
n,b,f,n,y,e
k,b,f,n,f,e
h,b,f,n,s,e
p,b,f,n,f,e
p,b,f,n,s,e
n,b,f,l,y,e
w,n,f,l,s,e
k,b,f,n,f,e
h,b,f,n,s,e
k,b,f,n,s,e
w,n,f,p,y,p
k,n,f,n,f,e
n,b,f,a,s,e
h,b,f,n,s,e
n,b,f,n,f,e
n,n,f,p,s,p
k,b,f,l,s,e
n,n,f,n,f,e
p,b,f,n,s,e
w,b,f,a,y,e
p,b,f,n,f,e
n,b,f,n,s,e
u,b,f,n,y,e
n,b,f,a,y,e
n,b,f,n,f,e
w,n,f,p,s,p
p,b,f,n,f,e
n,b,f,n,f,e
h,b,f,n,f,e
n,b,f,n,f,e
w,b,f,l,y,e
n,b,f,n,f,e
w,n,f,p,y,p
w,n,f,p,y,p
n,b,f,l,s,e
h,b,f,n,s,e
n,b,f,n,f,e
h,b,f,n,f,e
k,b,f,l,s,e
w,n,f,p,s,p
n,b,f,n,y,e
n,n,f,l,f,e
k,b,f,l,y,e
n,b,f,n,f,e
h,b,f,n,f,e
n,b,f,n,f,e
n,b,f,n,f,e
k,b,f,n,s,e
n,b,f,n,s,e
w,n,f,p,s,p
n,b,f,n,f,e
k,b,f,n,s,e
k,b,f,n,f,e
n,b,f,n,f,e
n,b,f,n,f,e
n,b,f,n,f,e
n,b,f,n,f,e
u,b,f,n,f,e
p,b,f,n,s,e
n,b,f,l,y,e
n,b,f,n,f,e
k,b,f,l,y,e
p,b,f,n,f,e
u,b,f,n,f,e
g,b,f,l,s,e
h,b,f,n,f,e
k,b,f,n,f,e
n,n,f,p,s,p
n,b,f,n,f,e
n,b,f,n,f,e
n,b,f,n,s,e
k,b,f,n,s,e
n,b,f,l,y,e
n,b,f,l,s,e
p,b,f,n,s,e
p,b,f,n,s,e
n,n,f,n,f,e
k,b,f,n,s,e
n,b,f,n,s,e
n,b,f,l,y,e
w,n,f,a,s,e
w,b,f,l,s,e
p,n,f,p,y,p
n,b,f,n,f,e
p,b,f,l,y,e
k,b,f,n,s,e
w,n,f,p,s,p
p,b,f,l,y,e
p,b,f,n,s,e
k,b,f,n,s,e
p,b,f,n,f,e
k,b,f,n,f,e
k,b,f,l,s,e
g,b,f,a,y,e
k,b,f,n,s,e
p,b,f,a,y,e
n,b,f,n,s,e
h,b,f,n,f,e
p,n,f,a,f,e
n,b,f,l,y,e
p,b,f,n,f,e
w,n,f,p,s,p
n,b,f,n,f,e
n,b,f,n,f,e
w,b,f,a,s,e
k,b,f,a,y,e
w,b,f,a,y,e
n,n,f,p,y,p
p,n,f,p,y,p
n,n,f,n,f,e
w,n,f,l,s,e
k,b,f,l,y,e
k,b,f,n,s,e
u,b,f,n,f,e
n,n,f,p,y,p
p,b,f,n,f,e
p,b,f,n,f,e
p,b,f,n,s,e
p,b,f,n,f,e
k,b,f,a,y,e
n,n,f,a,f,e
k,n,f,n,f,e
p,n,f,p,s,p
w,b,f,a,y,e
n,b,f,a,y,e
h,b,f,n,f,e
u,b,f,n,y,e
h,b,f,n,s,e
w,b,f,a,s,e
h,b,f,n,f,e
n,n,f,p,y,p
p,b,f,n,f,e
k,b,f,n,f,e
w,b,f,n,f,e
u,b,f,n,f,e
p,b,f,n,f,e
w,b,f,l,y,e
k,b,f,n,f,e
k,b,f,l,s,e
p,n,f,l,f,e
k,b,f,n,s,e
w,b,f,l,y,e
h,b,f,n,f,e
h,b,f,n,s,e
n,n,f,l,s,e
k,b,f,n,s,e
n,b,f,n,f,e
k,n,f,p,y,p
p,n,f,l,f,e
k,b,f,a,y,e
p,b,f,n,f,e
u,b,f,n,f,e
n,b,f,l,y,e
h,b,f,n,s,e
k,n,f,p,y,p
k,b,f,a,s,e
p,b,f,n,f,e
p,b,f,l,y,e
k,b,f,n,s,e
p,n,f,n,f,e
n,n,f,p,y,p
k,b,f,n,f,e
p,b,f,l,y,e
h,b,f,n,f,e
k,n,f,p,y,p
k,b,f,l,s,e
n,b,f,n,f,e
w,b,f,l,s,e
p,b,f,n,f,e
n,b,f,l,y,e
w,b,f,l,y,e
n,n,f,p,y,p
w,b,f,l,y,e
n,n,f,n,f,e
n,b,f,a,y,e
n,b,f,n,f,e
n,n,f,l,f,e
p,b,f,n,s,e
n,n,f,p,y,p
p,b,f,n,f,e
h,b,f,n,s,e
h,b,f,n,f,e
n,n,f,p,y,p
k,b,f,n,f,e
k,b,f,n,s,e
h,b,f,n,f,e
w,n,f,p,y,p
n,b,f,n,f,e
n,b,f,n,s,e
n,n,f,p,y,p
k,b,f,n,f,e
k,b,f,l,y,e
h,b,f,n,s,e
k,b,f,n,f,e
n,n,f,p,s,p
w,b,f,a,y,e
k,b,f,n,f,e
p,b,f,l,y,e
p,b,f,n,f,e
n,b,f,n,f,e
h,b,f,n,s,e
k,b,f,n,f,e
h,b,f,n,s,e
p,b,f,n,f,e
k,b,f,n,f,e
p,b,f,n,s,e
p,b,f,n,f,e
p,n,f,a,s,e
p,b,f,n,f,e
p,b,f,n,s,e
k,b,f,a,s,e
h,b,f,n,f,e
k,b,f,n,f,e
p,n,f,p,s,p
n,b,f,n,f,e
p,n,f,p,s,p
k,b,f,n,s,e
g,b,f,a,y,e
h,b,f,n,f,e
n,b,f,n,f,e
