@relation './dexter_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R12258,12256,12255,12251,12250,20001'

@attribute attr12257 {'\'All\''}
@attribute attr12255 {'\'All\''}
@attribute attr12254 {'\'All\''}
@attribute attr12250 {'\'All\''}
@attribute attr12249 {'\'All\''}
@attribute CLASS {0,1}

@data
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',1
'\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',0
