@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R580,572,555,554,550,548,545,544,543,541,539,537,536,535,531,530,527,525,520,518,517,516,514,506,505,504,503,500,499,494,493,489,486,485,484,483,478,477,474,473,472,470,466,463,462,461,458,455,454,452,449,448,447,446,445,442,441,430,429,428,426,425,422,418,417,416,415,413,412,410,407,406,404,402,399,398,396,394,393,392,390,388,386,383,381,379,378,377,376,375,374,373,372,371,370,367,366,365,364,363,361,359,358,355,352,349,347,346,345,342,339,336,334,333,332,331,330,328,327,325,324,323,321,319,318,313,312,309,307,306,305,304,301,300,296,294,292,291,289,288,287,286,285,282,281,277,275,267,265,263,260,259,257,255,252,250,248,246,235,234,233,230,226,223,215,212,209,208,207,204,201,197,192,187,178,175,168,164,107,80,57,53,28,1618'

@attribute attr579 numeric
@attribute attr571 numeric
@attribute attr554 numeric
@attribute attr553 numeric
@attribute attr549 numeric
@attribute attr547 numeric
@attribute attr544 numeric
@attribute attr543 numeric
@attribute attr542 numeric
@attribute attr540 numeric
@attribute attr538 numeric
@attribute attr536 numeric
@attribute attr535 numeric
@attribute attr534 numeric
@attribute attr530 numeric
@attribute attr529 numeric
@attribute attr526 numeric
@attribute attr524 numeric
@attribute attr519 numeric
@attribute attr517 numeric
@attribute attr516 numeric
@attribute attr515 numeric
@attribute attr513 numeric
@attribute attr505 numeric
@attribute attr504 numeric
@attribute attr503 numeric
@attribute attr502 numeric
@attribute attr499 numeric
@attribute attr498 numeric
@attribute attr493 numeric
@attribute attr492 numeric
@attribute attr488 numeric
@attribute attr485 numeric
@attribute attr484 numeric
@attribute attr483 numeric
@attribute attr482 numeric
@attribute attr477 numeric
@attribute attr476 numeric
@attribute attr473 numeric
@attribute attr472 numeric
@attribute attr471 numeric
@attribute attr469 numeric
@attribute attr465 numeric
@attribute attr462 numeric
@attribute attr461 numeric
@attribute attr460 numeric
@attribute attr457 numeric
@attribute attr454 numeric
@attribute attr453 numeric
@attribute attr451 numeric
@attribute attr448 numeric
@attribute attr447 numeric
@attribute attr446 numeric
@attribute attr445 numeric
@attribute attr444 numeric
@attribute attr441 numeric
@attribute attr440 numeric
@attribute attr429 numeric
@attribute attr428 numeric
@attribute attr427 numeric
@attribute attr425 numeric
@attribute attr424 numeric
@attribute attr421 numeric
@attribute attr417 numeric
@attribute attr416 numeric
@attribute attr415 numeric
@attribute attr414 numeric
@attribute attr412 numeric
@attribute attr411 numeric
@attribute attr409 numeric
@attribute attr406 numeric
@attribute attr405 numeric
@attribute attr403 numeric
@attribute attr401 numeric
@attribute attr398 numeric
@attribute attr397 numeric
@attribute attr395 numeric
@attribute attr393 numeric
@attribute attr392 numeric
@attribute attr391 numeric
@attribute attr389 numeric
@attribute attr387 numeric
@attribute attr385 numeric
@attribute attr382 numeric
@attribute attr380 numeric
@attribute attr378 numeric
@attribute attr377 numeric
@attribute attr376 numeric
@attribute attr375 numeric
@attribute attr374 numeric
@attribute attr373 numeric
@attribute attr372 numeric
@attribute attr371 numeric
@attribute attr370 numeric
@attribute attr369 numeric
@attribute attr366 numeric
@attribute attr365 numeric
@attribute attr364 numeric
@attribute attr363 numeric
@attribute attr362 numeric
@attribute attr360 numeric
@attribute attr358 numeric
@attribute attr357 numeric
@attribute attr354 numeric
@attribute attr351 numeric
@attribute attr348 numeric
@attribute attr346 numeric
@attribute attr345 numeric
@attribute attr344 numeric
@attribute attr341 numeric
@attribute attr338 numeric
@attribute attr335 numeric
@attribute attr333 numeric
@attribute attr332 numeric
@attribute attr331 numeric
@attribute attr330 numeric
@attribute attr329 numeric
@attribute attr327 numeric
@attribute attr326 numeric
@attribute attr324 numeric
@attribute attr323 numeric
@attribute attr322 numeric
@attribute attr320 numeric
@attribute attr318 numeric
@attribute attr317 numeric
@attribute attr312 numeric
@attribute attr311 numeric
@attribute attr308 numeric
@attribute attr306 numeric
@attribute attr305 numeric
@attribute attr304 numeric
@attribute attr303 numeric
@attribute attr300 numeric
@attribute attr299 numeric
@attribute attr295 numeric
@attribute attr293 numeric
@attribute attr291 numeric
@attribute attr290 numeric
@attribute attr288 numeric
@attribute attr287 numeric
@attribute attr286 numeric
@attribute attr285 numeric
@attribute attr284 numeric
@attribute attr281 numeric
@attribute attr280 numeric
@attribute attr276 numeric
@attribute attr274 numeric
@attribute attr266 numeric
@attribute attr264 numeric
@attribute attr262 numeric
@attribute attr259 numeric
@attribute attr258 numeric
@attribute attr256 numeric
@attribute attr254 numeric
@attribute attr251 numeric
@attribute attr249 numeric
@attribute attr247 numeric
@attribute attr245 numeric
@attribute attr234 numeric
@attribute attr233 numeric
@attribute attr232 numeric
@attribute attr229 numeric
@attribute attr225 numeric
@attribute attr222 numeric
@attribute attr214 numeric
@attribute attr211 numeric
@attribute attr208 numeric
@attribute attr207 numeric
@attribute attr206 numeric
@attribute attr203 numeric
@attribute attr200 numeric
@attribute attr196 numeric
@attribute attr191 numeric
@attribute attr186 numeric
@attribute attr177 numeric
@attribute attr174 numeric
@attribute attr167 numeric
@attribute attr163 numeric
@attribute attr106 numeric
@attribute attr79 numeric
@attribute attr56 numeric
@attribute attr52 numeric
@attribute attr27 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
