@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R12,5,4,23'

@attribute stalk-surface-above-ring {f,k,s,y}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute bruises? {f,t}
@attribute class {e,p}

@data
s,p,t,p
s,n,f,e
s,l,t,e
s,n,f,e
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,a,t,e
f,n,f,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,p,t,p
s,n,f,e
s,n,f,e
s,a,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
f,n,f,e
s,l,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,a,t,e
s,n,f,e
s,p,t,p
s,l,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
f,n,f,e
s,a,t,e
s,p,t,p
s,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,p,t,p
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,a,t,e
s,p,t,p
f,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,n,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,n,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,n,f,e
f,n,f,e
f,n,f,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
f,n,f,e
s,a,t,e
s,a,t,e
s,n,t,e
s,p,t,p
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,a,t,e
f,n,f,e
s,l,t,e
s,l,t,e
s,n,f,e
s,p,t,p
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
f,n,f,e
s,l,t,e
s,l,t,e
s,p,t,p
s,a,t,e
s,l,t,e
s,p,t,p
s,l,t,e
f,n,f,e
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,n,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,n,f,e
f,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,a,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,n,f,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,p,t,p
f,n,f,e
s,a,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,p,t,p
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,n,f,e
f,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,a,t,e
s,p,t,p
s,a,t,e
s,n,f,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,n,f,e
s,n,f,e
s,a,t,e
s,p,t,p
s,n,f,e
s,l,t,e
s,p,t,p
s,a,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,p,t,p
s,p,t,p
s,n,f,e
s,l,t,e
f,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,p,t,p
s,l,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,n,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,p,t,p
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,p,t,p
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,n,f,e
s,l,t,e
s,l,t,e
s,n,f,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,n,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
f,n,f,e
s,p,t,p
s,a,t,e
s,a,t,e
s,p,t,p
s,p,t,p
f,n,f,e
s,p,t,p
s,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,p,t,p
s,l,t,e
f,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
f,n,f,e
s,p,t,p
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
f,n,f,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,n,f,e
s,l,t,e
s,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
f,n,f,e
s,a,t,e
s,p,t,p
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,p,t,p
s,n,f,e
s,l,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,p,t,p
s,l,t,e
f,n,f,e
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,p,t,p
s,p,t,p
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,p,t,p
s,l,t,e
s,p,t,p
s,a,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,a,t,e
s,n,f,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,n,f,e
f,n,f,e
s,n,f,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,n,f,e
s,l,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,n,t,e
s,a,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,n,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,l,t,e
f,n,f,e
f,n,f,e
f,n,f,e
s,l,t,e
f,n,f,e
s,p,t,p
f,n,f,e
s,p,t,p
s,p,t,p
s,l,t,e
f,n,f,e
s,l,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,l,t,e
s,n,t,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,l,t,e
s,l,t,e
f,n,f,e
f,n,f,e
f,n,f,e
s,p,t,p
s,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
s,p,t,p
s,l,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,n,f,e
f,n,f,e
s,n,t,e
s,a,t,e
f,n,f,e
s,p,t,p
s,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,l,t,e
f,n,f,e
s,p,t,p
s,p,t,p
s,l,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,l,t,e
s,p,t,p
s,n,t,e
s,l,t,e
s,l,t,e
f,n,f,e
f,n,f,e
s,n,t,e
s,n,t,e
f,n,f,e
s,n,f,e
s,p,t,p
s,n,t,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,t,e
s,n,t,e
s,n,f,e
s,n,t,e
f,n,f,e
s,l,t,e
s,n,t,e
s,l,t,e
f,n,f,e
s,n,t,e
s,l,t,e
s,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,l,t,e
s,l,t,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,l,t,e
s,a,t,e
s,l,t,e
s,p,t,p
s,n,t,e
s,l,t,e
s,n,f,e
s,p,t,p
s,l,t,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,l,t,e
s,a,t,e
s,n,f,e
s,a,t,e
s,n,f,e
f,n,f,e
s,a,t,e
s,l,t,e
s,n,t,e
s,p,t,p
s,n,t,e
f,n,f,e
s,a,t,e
s,a,t,e
s,a,t,e
s,p,t,p
s,p,t,p
s,n,f,e
s,l,t,e
s,l,t,e
s,n,f,e
s,n,t,e
s,p,t,p
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,a,t,e
s,a,t,e
s,n,f,e
s,p,t,p
s,a,t,e
s,a,t,e
s,n,f,e
s,n,t,e
f,n,f,e
s,a,t,e
s,n,f,e
s,p,t,p
s,n,t,e
f,n,f,e
s,n,t,e
s,n,t,e
s,n,f,e
s,l,t,e
f,n,f,e
s,l,t,e
s,l,t,e
s,n,f,e
s,l,t,e
s,n,f,e
s,n,f,e
s,l,t,e
f,n,f,e
f,n,f,e
s,p,t,p
s,l,t,e
s,a,t,e
f,n,f,e
s,n,t,e
s,l,t,e
s,n,f,e
s,p,t,p
s,a,t,e
s,n,t,e
s,l,t,e
f,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,l,t,e
s,n,f,e
s,p,t,p
s,l,t,e
f,n,f,e
s,l,t,e
s,n,f,e
s,l,t,e
s,l,t,e
s,p,t,p
s,l,t,e
s,n,f,e
s,a,t,e
s,n,f,e
s,l,t,e
f,n,f,e
s,p,t,p
s,n,f,e
f,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
f,n,f,e
s,p,t,p
s,n,f,e
s,l,t,e
f,n,f,e
f,n,f,e
s,p,t,p
s,a,t,e
f,n,f,e
s,l,t,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,t,e
s,a,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,p,t,p
f,n,f,e
s,a,t,e
s,n,f,e
s,n,t,e
s,l,t,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,t,e
s,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,a,t,e
s,p,t,p
f,n,f,e
s,p,t,p
s,a,t,e
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,a,t,e
f,n,f,e
s,n,t,e
s,a,t,e
f,n,f,e
s,a,t,e
s,p,t,p
s,n,t,e
s,n,f,e
s,a,t,e
f,n,f,e
s,n,t,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,l,t,e
s,n,f,e
s,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
f,n,f,e
s,a,t,e
s,a,t,e
f,n,f,e
s,n,f,e
s,p,t,p
s,l,t,e
s,n,f,e
f,n,f,e
s,l,t,e
s,n,t,e
s,l,t,e
s,a,t,e
s,p,t,p
f,n,f,e
s,a,t,e
s,l,t,e
s,l,t,e
s,l,t,e
s,a,t,e
s,a,t,e
s,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,a,t,e
f,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,a,t,e
f,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,t,e
s,n,f,e
s,p,t,p
s,n,t,e
s,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,p,t,p
s,p,t,p
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,t,e
s,n,t,e
s,n,f,e
s,p,t,p
s,p,t,p
f,n,f,e
s,p,t,p
s,n,f,e
f,n,f,e
s,p,t,p
s,p,t,p
s,p,t,p
s,p,t,p
f,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
s,n,t,e
s,n,f,e
s,n,t,e
f,n,f,e
s,n,f,e
s,p,t,p
s,p,t,p
f,n,f,e
s,n,t,e
s,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,l,t,e
f,n,f,e
s,n,f,e
s,n,t,e
s,l,t,e
s,n,f,e
s,n,t,e
s,p,t,p
f,n,f,e
s,p,t,p
f,n,f,e
s,n,f,e
s,l,t,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
s,n,t,e
s,n,f,e
s,n,t,e
s,a,t,e
f,n,f,e
s,n,f,e
f,n,f,e
s,p,t,p
s,n,t,e
s,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,n,t,e
s,n,t,e
s,n,t,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,l,t,e
s,p,t,p
s,p,t,p
s,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,p,t,p
s,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,t,e
s,n,t,e
s,n,f,e
s,n,t,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,t,e
s,n,f,e
f,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,a,t,e
s,n,t,e
s,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,l,t,e
f,n,f,e
f,n,f,e
f,n,f,e
s,p,t,p
s,n,f,e
s,n,t,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,l,t,e
s,p,t,p
s,n,f,e
s,n,t,e
s,p,t,p
s,p,t,p
s,p,t,p
s,n,t,e
s,l,t,e
s,p,t,p
s,n,f,e
f,n,f,e
s,n,t,e
f,n,f,e
s,n,f,e
f,n,f,e
s,p,t,p
s,p,t,p
s,n,f,e
f,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
s,n,t,e
f,n,f,e
s,p,t,p
s,n,t,e
f,n,f,e
f,n,f,e
s,a,t,e
f,n,f,e
s,n,t,e
s,n,t,e
s,a,t,e
s,n,f,e
s,n,f,e
s,n,t,e
f,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,l,t,e
s,p,t,p
s,n,f,e
f,n,f,e
s,n,f,e
s,p,t,p
f,n,f,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,t,e
s,p,t,p
s,n,t,e
f,n,f,e
s,n,t,e
f,n,f,e
s,n,f,e
s,n,f,e
s,a,t,e
s,a,t,e
f,n,f,e
s,n,f,e
s,n,f,e
s,a,t,e
f,n,f,e
s,l,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,t,e
f,n,f,e
s,a,t,e
f,n,f,e
s,p,t,p
s,n,f,e
s,p,t,p
s,n,f,e
f,n,f,e
s,p,t,p
f,n,f,e
s,p,t,p
f,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,t,e
s,p,t,p
f,n,f,e
s,a,t,e
s,n,f,e
f,n,f,e
s,l,t,e
s,n,f,e
f,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,a,t,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,t,e
s,l,t,e
s,n,t,e
s,p,t,p
s,n,f,e
s,p,t,p
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,l,t,e
s,n,f,e
f,n,f,e
s,p,t,p
s,n,f,e
s,p,t,p
s,n,f,e
s,n,t,e
s,n,f,e
s,p,t,p
s,n,f,e
s,p,t,p
s,n,t,e
f,n,f,e
s,a,t,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,l,t,e
s,n,t,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,p,t,p
s,p,t,p
s,n,t,e
f,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,t,e
s,p,t,p
f,n,f,e
s,n,t,e
s,p,t,p
s,p,t,p
s,p,t,p
s,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,p,t,p
s,p,t,p
f,n,f,e
f,n,f,e
f,n,f,e
s,n,t,e
s,n,t,e
f,n,f,e
f,n,f,e
f,n,f,e
s,l,t,e
f,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,f,e
f,n,f,e
s,n,f,e
s,a,t,e
s,l,t,e
s,n,f,e
s,p,t,p
s,n,f,e
s,p,t,p
s,n,t,e
s,p,t,p
s,l,t,e
s,l,t,e
s,l,t,e
s,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,l,t,e
s,n,f,e
s,l,t,e
s,p,t,p
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
s,n,t,e
s,n,t,e
s,a,t,e
s,n,t,e
f,n,f,e
f,n,f,e
s,n,f,e
f,n,f,e
f,n,f,e
f,n,f,e
s,n,f,e
s,n,f,e
s,n,t,e
s,n,f,e
f,n,f,e
s,p,t,p
s,n,t,e
f,n,f,e
s,n,f,e
s,p,t,p
s,n,f,e
s,n,t,e
f,n,f,e
f,n,f,e
s,n,t,e
s,n,f,e
s,n,f,e
s,n,t,e
s,l,t,e
s,l,t,e
f,n,f,e
