@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R9,7,2,23'

@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute gill-spacing {c,d,w}
@attribute cap-surface {f,g,s,y}
@attribute class {e,p}

@data
w,c,y,p
n,c,y,e
p,c,f,e
k,c,s,e
n,c,y,e
n,c,y,e
g,c,y,e
g,c,y,e
n,c,y,e
p,c,f,e
g,c,f,e
n,c,y,e
n,c,s,e
k,c,y,e
g,c,s,e
g,c,s,e
k,c,s,e
p,w,f,e
p,w,s,e
p,c,y,p
k,w,f,e
w,c,y,e
w,w,s,e
n,c,y,e
g,c,y,e
p,c,f,e
k,c,y,e
g,c,s,e
p,c,y,e
n,w,f,e
w,c,s,e
n,c,y,p
n,c,y,e
p,w,f,e
g,c,s,e
k,c,y,p
w,w,s,e
k,c,y,e
n,w,f,e
w,w,s,e
k,c,y,e
w,w,f,e
w,c,s,e
n,c,y,e
p,c,y,e
k,c,y,e
n,c,s,e
n,c,y,p
w,c,s,e
g,c,y,e
w,c,y,p
n,c,s,e
w,c,y,e
n,c,y,e
g,c,y,e
p,c,f,e
w,c,y,e
n,c,s,e
g,c,f,e
n,c,y,e
k,c,s,e
n,c,y,e
g,c,s,e
p,w,f,e
g,c,y,e
n,w,f,e
n,w,f,e
n,c,s,e
n,w,s,e
g,c,f,e
h,w,s,e
p,c,y,e
k,c,y,e
k,c,s,e
w,c,y,e
g,c,f,e
p,c,y,e
k,c,y,p
p,c,y,e
w,c,y,e
h,w,f,e
p,w,f,e
k,w,s,e
n,c,y,e
w,c,s,e
p,c,f,e
w,c,y,e
p,w,f,e
g,c,y,e
n,w,f,e
w,c,y,e
n,c,y,e
w,c,s,e
n,c,f,e
k,c,s,e
n,c,s,e
k,c,f,e
n,c,y,e
k,c,y,e
k,c,y,e
p,c,y,p
k,w,s,e
w,c,y,e
g,c,s,e
n,c,f,e
w,c,s,p
w,c,y,e
n,w,s,e
n,c,y,e
w,c,s,e
n,c,s,e
g,c,s,e
n,c,y,e
k,c,f,e
w,c,y,e
h,w,f,e
k,c,s,e
w,c,y,e
n,c,f,e
p,c,s,p
w,c,y,e
n,c,y,e
p,c,y,p
w,c,s,e
k,c,s,e
n,c,y,e
n,c,y,e
g,c,s,e
g,c,s,e
w,c,y,e
w,c,s,e
n,w,s,e
n,c,y,e
n,c,y,e
k,c,y,p
w,c,y,e
p,w,f,e
w,c,s,p
k,c,y,e
h,w,f,e
n,c,y,e
w,c,y,e
p,c,y,p
w,c,y,e
n,c,s,e
n,w,s,e
n,c,y,e
k,c,s,e
p,w,s,e
n,c,f,e
g,c,y,e
n,c,y,e
g,c,s,e
w,c,s,e
n,w,s,e
w,c,s,e
n,w,f,e
g,c,y,e
k,c,y,e
p,c,y,e
n,c,y,e
g,c,y,e
p,c,y,e
n,c,y,e
w,c,s,e
p,c,y,e
n,c,s,e
n,c,y,e
w,c,s,e
n,c,f,e
k,c,y,e
g,c,s,e
g,c,s,e
p,w,f,e
g,c,s,e
h,w,s,e
k,c,s,e
w,c,s,e
n,c,y,e
w,c,y,e
k,c,s,e
n,c,y,e
g,c,s,e
w,c,y,e
k,c,f,e
p,c,y,e
g,c,s,e
g,c,s,e
g,c,y,e
w,c,y,e
g,c,y,e
w,c,y,e
n,w,f,e
k,c,f,e
n,w,s,e
k,c,f,e
p,c,f,e
w,c,y,e
p,w,s,e
n,c,y,e
k,c,y,e
g,c,y,e
p,w,s,e
g,c,f,e
w,w,s,e
p,c,y,e
w,c,y,e
p,c,f,e
n,c,y,e
n,c,y,e
n,w,f,e
p,c,s,p
k,c,s,p
w,c,y,e
w,c,y,e
k,c,s,e
h,w,f,e
p,c,y,e
n,c,y,e
w,c,s,e
w,c,s,e
g,c,y,e
g,c,s,e
w,c,s,e
w,c,y,e
n,c,s,p
p,w,s,e
p,w,s,e
n,w,f,e
p,c,f,e
k,c,f,e
k,c,y,e
n,w,f,e
n,c,f,e
k,c,f,e
h,w,f,e
n,c,y,e
k,c,s,e
k,c,y,e
k,c,y,e
w,c,s,e
n,c,s,e
p,c,y,e
n,c,s,p
n,c,f,e
w,c,s,e
w,c,y,e
k,c,s,e
k,c,f,e
w,c,y,e
n,c,y,e
n,c,s,e
n,c,y,p
w,c,y,e
k,c,s,p
k,w,f,e
k,c,y,e
p,c,f,e
g,c,y,e
p,w,s,e
n,c,s,e
p,w,f,e
n,c,y,p
p,c,y,e
n,w,f,e
w,c,s,e
g,c,y,e
g,c,f,e
p,w,f,e
g,c,s,e
n,c,f,e
h,w,f,e
p,c,y,e
p,w,s,e
k,c,s,e
p,c,y,e
k,c,y,p
w,w,f,e
w,c,s,e
g,c,y,e
g,c,s,e
w,w,s,e
n,w,s,e
n,w,f,e
w,c,s,e
w,c,y,p
g,c,y,e
k,w,s,e
n,c,s,p
w,c,y,e
k,c,s,e
n,w,f,e
k,c,s,e
w,c,y,e
w,c,y,e
w,c,s,e
p,c,f,e
n,c,s,e
w,c,y,e
w,c,s,p
g,c,s,e
w,c,s,e
k,c,y,e
n,c,y,e
w,c,y,e
k,c,y,e
g,c,f,e
n,c,f,e
n,c,f,e
n,c,y,e
k,c,s,p
h,w,s,e
g,c,y,e
k,c,y,p
g,c,s,e
p,c,s,p
n,c,s,e
g,c,y,e
p,c,y,p
n,c,s,p
n,w,s,e
w,c,y,e
k,w,f,e
n,c,y,e
w,c,y,e
n,c,s,e
n,w,s,e
n,c,y,e
w,c,s,e
n,c,f,e
h,w,s,e
n,w,f,e
p,w,s,e
k,c,s,p
p,c,y,e
g,c,s,e
p,w,f,e
g,c,y,e
n,c,s,e
n,c,f,e
p,c,y,e
w,c,s,e
n,w,f,e
n,c,y,e
p,c,f,e
g,c,s,e
w,w,f,e
p,c,f,e
g,c,y,e
k,c,s,e
n,w,f,e
k,c,y,e
n,c,f,e
n,c,y,e
p,c,y,e
w,c,y,e
p,c,y,e
n,c,y,e
h,w,s,e
g,c,y,e
w,c,y,e
n,c,y,e
w,c,y,e
w,c,y,e
n,c,y,e
n,w,s,e
g,c,y,e
k,c,s,e
n,c,y,e
p,w,f,e
n,c,s,e
n,c,s,e
w,c,y,e
w,c,y,p
w,c,y,p
g,c,s,e
k,w,f,e
g,c,s,e
w,c,y,e
k,c,f,e
n,c,s,e
k,c,s,e
n,c,y,p
k,c,s,p
g,c,s,e
w,c,s,e
w,c,y,e
p,c,y,e
n,c,y,e
w,c,y,e
k,c,s,e
p,c,f,e
p,w,f,e
w,w,f,e
w,c,y,e
g,c,f,e
k,c,f,e
n,c,y,e
w,c,y,e
g,c,s,e
n,w,s,e
n,c,y,e
w,w,f,e
w,c,s,e
p,c,f,e
g,c,y,e
k,c,f,e
n,c,y,e
w,c,y,e
k,c,s,e
w,c,s,e
k,c,y,e
p,c,y,e
k,w,s,e
p,c,y,p
n,c,y,e
w,c,s,e
w,c,y,p
p,c,s,p
n,w,s,e
w,c,s,p
h,w,f,e
n,c,y,e
k,c,y,e
p,c,y,e
p,c,y,e
k,c,y,e
p,c,f,e
k,c,s,e
g,c,y,e
w,c,y,e
p,w,s,e
w,c,s,e
w,c,y,e
k,c,y,e
n,c,y,e
k,c,s,e
n,c,y,e
n,c,y,e
g,c,f,e
n,c,y,e
k,c,s,e
w,w,s,e
p,w,s,e
n,c,y,e
k,c,y,p
w,c,s,e
h,w,f,e
n,c,s,e
w,c,y,e
w,c,y,e
n,w,f,e
k,c,s,p
p,c,y,p
g,c,y,e
w,c,y,e
w,w,f,e
w,c,y,p
g,c,s,e
p,c,f,e
p,c,f,e
n,c,s,e
p,c,y,e
k,c,y,e
n,c,y,e
n,c,y,e
w,c,y,e
w,c,y,e
w,c,s,p
n,w,s,e
n,c,y,e
k,c,s,e
n,w,s,e
w,c,y,e
k,c,y,e
n,c,s,e
n,c,y,e
n,w,s,e
w,c,y,e
n,c,y,e
g,c,s,e
p,c,y,e
g,c,s,e
g,c,f,e
w,c,y,e
k,w,f,e
p,w,s,e
g,c,f,e
g,c,y,e
k,c,s,e
w,c,s,e
k,c,s,e
k,c,y,e
p,w,s,e
h,w,f,e
p,c,y,e
k,c,y,p
p,c,y,e
n,c,s,e
w,c,y,e
w,c,y,e
g,c,f,e
w,c,y,e
n,c,s,e
w,c,s,e
w,c,s,p
n,c,f,e
w,c,y,e
k,c,y,p
p,c,y,e
k,c,y,e
p,c,y,e
k,c,y,e
n,c,s,e
p,c,y,p
n,c,y,p
n,c,y,e
h,w,s,e
k,c,s,p
w,c,y,e
n,c,s,e
w,c,y,e
n,c,s,p
w,c,y,e
k,c,y,e
w,c,y,e
k,c,y,e
p,c,y,e
n,c,s,e
p,w,s,e
g,c,s,e
n,c,s,e
p,c,y,p
w,c,y,p
k,c,s,p
n,c,s,e
p,c,y,e
n,c,y,e
w,w,s,e
k,c,y,e
w,c,s,e
k,c,f,e
n,c,s,e
g,c,s,e
w,c,y,e
w,c,y,e
n,w,f,e
w,w,f,e
g,c,s,e
p,w,s,e
p,c,f,e
w,w,f,e
p,c,y,e
w,c,y,e
p,c,y,e
k,c,s,p
n,c,s,e
p,c,y,p
w,c,y,e
w,c,y,e
w,w,s,e
w,c,y,p
n,c,s,e
n,c,f,e
g,c,s,e
k,w,f,e
n,c,y,e
g,c,y,e
k,c,s,e
w,w,s,e
k,c,s,e
p,c,y,e
g,c,f,e
p,w,f,e
n,c,f,e
p,c,y,e
n,w,s,e
n,c,s,e
k,c,s,e
p,c,s,p
w,c,y,e
w,c,s,e
p,c,y,e
g,c,y,e
w,c,y,e
k,c,y,e
n,c,f,e
p,c,y,e
p,c,f,e
k,c,s,e
p,c,y,e
w,c,s,e
k,c,y,e
n,c,f,e
n,c,s,e
p,c,y,e
k,c,y,e
k,c,s,e
w,c,y,e
n,c,s,e
w,w,f,e
n,w,s,e
w,c,y,e
n,c,y,e
n,c,y,e
p,w,s,e
n,c,s,e
n,c,y,e
w,c,y,e
g,c,s,e
u,c,f,e
p,c,y,e
n,c,s,e
g,c,s,e
k,c,s,e
p,c,y,e
k,c,y,e
k,c,s,e
k,c,y,e
n,c,s,e
n,c,y,e
n,w,f,e
p,w,s,e
h,w,s,e
w,c,s,e
p,w,f,e
n,c,s,p
p,w,f,e
p,c,y,p
w,c,s,p
k,c,s,e
p,w,f,e
g,c,s,e
n,w,f,e
k,w,s,e
k,c,s,e
n,c,s,e
n,c,y,e
k,w,f,e
h,w,s,e
p,w,f,e
p,w,s,e
n,c,y,e
w,w,s,e
k,w,f,e
h,w,s,e
k,w,s,e
w,c,y,p
k,c,f,e
n,c,s,e
h,w,s,e
n,w,f,e
n,c,s,p
k,c,s,e
n,c,f,e
p,w,s,e
w,c,y,e
p,w,f,e
n,w,s,e
u,c,y,e
n,c,y,e
n,w,f,e
w,c,s,p
p,w,f,e
n,c,f,e
h,w,f,e
n,w,f,e
w,c,y,e
n,w,f,e
w,c,y,p
w,c,y,p
n,c,s,e
h,w,s,e
n,w,f,e
h,w,f,e
k,c,s,e
w,c,s,p
n,c,y,e
n,w,f,e
k,c,y,e
n,w,f,e
h,w,f,e
n,c,f,e
n,c,f,e
k,w,s,e
n,w,s,e
w,c,s,p
n,c,f,e
k,w,s,e
k,w,f,e
n,w,f,e
n,c,f,e
n,c,f,e
n,w,f,e
u,c,f,e
p,w,s,e
n,c,y,e
n,c,f,e
k,c,y,e
p,w,f,e
u,c,f,e
g,c,s,e
h,w,f,e
k,w,f,e
n,c,s,p
n,w,f,e
n,w,f,e
n,w,s,e
k,w,s,e
n,c,y,e
n,c,s,e
p,w,s,e
p,w,s,e
n,c,f,e
k,w,s,e
n,w,s,e
n,c,y,e
w,w,s,e
w,c,s,e
p,c,y,p
n,c,f,e
p,c,y,e
k,w,s,e
w,c,s,p
p,c,y,e
p,w,s,e
k,w,s,e
p,w,f,e
k,w,f,e
k,c,s,e
g,c,y,e
k,w,s,e
p,c,y,e
n,w,s,e
h,w,f,e
p,w,f,e
n,c,y,e
p,c,f,e
w,c,s,p
n,c,f,e
n,w,f,e
w,c,s,e
k,c,y,e
w,c,y,e
n,c,y,p
p,c,y,p
n,c,f,e
w,w,s,e
k,c,y,e
k,w,s,e
u,c,f,e
n,c,y,p
p,w,f,e
p,w,f,e
p,w,s,e
p,w,f,e
k,c,y,e
n,w,f,e
k,c,f,e
p,c,s,p
w,c,y,e
n,c,y,e
h,w,f,e
u,c,y,e
h,w,s,e
w,c,s,e
h,w,f,e
n,c,y,p
p,c,f,e
k,w,f,e
w,c,f,e
u,c,f,e
p,w,f,e
w,c,y,e
k,w,f,e
k,c,s,e
p,w,f,e
k,w,s,e
w,c,y,e
h,w,f,e
h,w,s,e
n,w,s,e
k,w,s,e
n,w,f,e
k,c,y,p
p,w,f,e
k,c,y,e
p,w,f,e
u,c,f,e
n,c,y,e
h,w,s,e
k,c,y,p
k,c,s,e
p,c,f,e
p,c,y,e
k,w,s,e
p,c,f,e
n,c,y,p
k,w,f,e
p,c,y,e
h,w,f,e
k,c,y,p
k,c,s,e
n,w,f,e
w,c,s,e
p,w,f,e
n,c,y,e
w,c,y,e
n,c,y,p
w,c,y,e
n,c,f,e
n,c,y,e
n,w,f,e
n,w,f,e
p,w,s,e
n,c,y,p
p,w,f,e
h,w,s,e
h,w,f,e
n,c,y,p
k,w,f,e
k,w,s,e
h,w,f,e
w,c,y,p
n,w,f,e
n,w,s,e
n,c,y,p
k,w,f,e
k,c,y,e
h,w,s,e
k,w,f,e
n,c,s,p
w,c,y,e
k,w,f,e
p,c,y,e
p,w,f,e
n,w,f,e
h,w,s,e
k,w,f,e
h,w,s,e
p,w,f,e
k,w,f,e
p,w,s,e
p,c,f,e
p,w,s,e
p,w,f,e
p,w,s,e
k,c,s,e
h,w,f,e
k,w,f,e
p,c,s,p
n,w,f,e
p,c,s,p
k,w,s,e
g,c,y,e
h,w,f,e
n,c,f,e
w,c,y,e
h,w,f,e
n,w,s,e
n,w,f,e
p,c,f,e
h,w,f,e
k,w,s,e
n,w,s,e
n,w,f,e
k,w,s,e
n,w,f,e
h,w,f,e
h,w,s,e
p,w,s,e
n,c,y,e
k,c,y,p
h,w,s,e
n,c,y,p
k,c,y,e
n,w,s,e
h,w,f,e
n,w,f,e
h,w,s,e
g,c,y,e
n,w,f,e
p,c,f,e
p,c,y,e
k,w,s,e
w,c,s,e
k,c,s,p
p,c,f,e
n,w,s,e
g,c,s,e
n,w,s,e
u,c,f,e
p,w,f,e
g,c,f,e
g,c,f,e
p,c,f,e
g,c,y,e
g,c,f,e
k,w,f,e
w,c,y,e
p,c,y,e
p,c,y,e
h,w,f,e
n,c,y,e
n,c,y,e
n,w,s,e
h,w,s,e
p,c,s,p
n,c,y,e
p,w,f,e
p,w,f,e
w,c,s,e
p,c,f,e
p,c,y,e
g,c,s,e
k,c,s,p
k,w,f,e
n,c,y,e
k,c,s,e
k,c,y,e
w,c,y,e
g,c,s,e
w,c,s,e
k,w,s,e
n,c,s,p
h,w,s,e
h,w,f,e
p,c,y,p
h,w,s,e
p,w,f,e
p,w,s,e
p,w,s,e
n,c,y,e
n,w,f,e
n,w,f,e
k,c,s,p
p,w,s,e
p,w,f,e
h,w,f,e
k,w,f,e
n,c,y,e
k,w,s,e
k,w,f,e
h,w,f,e
p,w,s,e
k,w,f,e
w,c,y,e
p,w,f,e
p,c,s,p
w,c,y,e
n,w,f,e
w,c,y,p
k,w,f,e
p,w,f,e
h,w,s,e
p,w,f,e
p,w,s,e
h,w,f,e
h,w,s,e
h,w,s,e
p,c,s,p
k,w,s,e
p,c,s,p
w,c,s,p
k,w,s,e
k,w,f,e
h,w,s,e
k,w,s,e
n,w,f,e
k,w,f,e
n,c,y,e
n,c,f,e
k,w,s,e
p,c,y,p
k,c,y,p
p,w,s,e
k,c,s,p
h,w,f,e
h,w,s,e
w,c,s,p
p,c,y,p
w,c,y,p
k,c,s,p
k,w,s,e
p,c,f,e
k,w,s,e
p,w,f,e
k,c,y,p
k,w,s,e
n,c,y,e
n,w,s,e
n,w,s,e
p,c,s,p
k,w,f,e
h,w,f,e
k,c,s,p
p,w,f,e
n,w,f,e
h,w,s,e
h,w,s,e
w,c,y,e
n,w,s,e
n,w,f,e
n,w,s,e
n,w,f,e
h,w,f,e
n,c,y,p
h,w,s,e
p,c,f,e
n,w,s,e
n,c,f,e
p,w,f,e
n,w,f,e
k,c,s,p
p,c,s,p
k,w,s,e
u,c,f,e
k,w,s,e
w,c,y,e
n,w,s,e
p,w,s,e
k,w,f,e
h,w,s,e
n,c,f,e
k,w,s,e
h,w,s,e
p,w,f,e
k,w,s,e
h,w,s,e
p,w,s,e
n,w,f,e
p,w,s,e
k,c,s,p
n,w,f,e
k,c,y,e
k,w,f,e
k,w,s,e
n,c,f,e
n,c,s,e
p,w,s,e
n,c,f,e
n,c,s,p
n,w,f,e
k,c,y,p
k,w,s,e
n,w,s,e
g,c,s,e
k,w,s,e
k,w,s,e
k,w,f,e
k,w,f,e
n,w,s,e
k,c,s,p
p,w,f,e
h,w,s,e
n,c,f,e
p,w,s,e
u,c,f,e
n,c,y,e
k,w,f,e
n,w,s,e
h,w,f,e
w,c,s,p
n,c,f,e
n,w,s,e
h,w,f,e
k,c,y,p
p,w,s,e
p,c,f,e
u,c,y,e
p,c,y,e
k,w,s,e
h,w,s,e
k,w,s,e
p,w,s,e
h,w,f,e
n,w,f,e
p,w,f,e
n,w,f,e
n,w,s,e
p,w,f,e
w,c,y,p
k,w,f,e
p,w,s,e
k,w,f,e
p,w,f,e
n,w,f,e
p,w,s,e
n,c,f,e
n,w,f,e
p,w,f,e
p,w,s,e
h,w,f,e
g,c,s,e
p,c,y,p
p,c,s,p
k,w,f,e
k,w,f,e
k,c,y,p
p,w,f,e
n,c,s,p
k,w,s,e
n,c,y,p
n,w,s,e
h,w,s,e
h,w,f,e
k,w,f,e
w,c,f,e
p,c,f,e
k,w,f,e
w,c,f,e
h,w,s,e
h,w,s,e
p,w,s,e
k,w,f,e
p,c,f,e
k,w,s,e
h,w,s,e
p,w,s,e
k,c,y,p
k,w,s,e
p,c,y,e
n,c,f,e
n,w,s,e
h,w,s,e
p,c,y,p
h,w,s,e
p,w,s,e
n,w,s,e
n,w,s,e
k,w,f,e
p,w,s,e
n,w,s,e
n,w,f,e
k,w,f,e
h,w,f,e
g,c,y,e
n,w,s,e
h,w,s,e
k,w,s,e
w,c,s,p
p,w,s,e
n,c,f,e
n,w,f,e
n,w,s,e
n,w,f,e
p,w,s,e
h,w,s,e
n,c,y,e
p,c,y,p
p,w,s,e
p,c,f,e
w,c,y,p
p,c,s,p
p,c,s,p
u,c,f,e
g,c,y,e
k,c,y,p
p,w,f,e
n,w,s,e
n,c,f,e
h,w,s,e
p,w,f,e
n,w,f,e
p,c,y,p
w,c,y,p
p,w,s,e
p,w,f,e
n,c,f,e
k,w,s,e
h,w,f,e
k,c,s,p
n,w,f,e
p,c,y,p
n,w,s,e
p,w,f,e
n,w,s,e
n,c,f,e
h,w,s,e
k,c,s,p
p,c,f,e
n,w,s,e
k,w,s,e
n,w,s,e
p,w,f,e
p,c,y,e
n,c,f,e
p,w,s,e
h,w,f,e
n,w,s,e
u,c,y,e
p,w,s,e
n,c,s,p
p,w,f,e
h,w,f,e
k,w,f,e
p,w,s,e
k,w,f,e
p,c,y,p
k,w,f,e
k,w,s,e
n,w,s,e
p,w,f,e
k,w,s,e
n,c,y,e
n,c,y,p
p,w,f,e
k,w,s,e
h,w,s,e
p,c,y,p
p,w,f,e
p,c,s,p
n,w,s,e
p,w,s,e
n,w,f,e
n,w,f,e
h,w,s,e
p,w,s,e
k,w,f,e
p,w,f,e
p,w,f,e
n,c,y,e
k,w,f,e
h,w,f,e
n,w,f,e
p,c,f,e
w,c,s,p
p,c,f,e
h,w,f,e
p,c,f,e
n,w,f,e
k,w,s,e
h,w,s,e
g,c,y,e
p,w,f,e
n,w,f,e
h,w,f,e
n,w,f,e
g,c,y,e
h,w,f,e
n,c,y,e
n,w,s,e
k,w,s,e
n,w,f,e
n,w,s,e
n,w,s,e
w,c,y,e
n,w,s,e
g,c,y,e
n,w,s,e
n,c,y,p
h,w,s,e
n,c,s,p
h,w,s,e
k,w,f,e
p,c,s,p
p,w,s,e
p,c,s,p
p,w,s,e
p,w,s,e
w,c,y,p
n,w,f,e
h,w,s,e
p,w,f,e
p,w,f,e
u,c,y,e
k,c,s,p
k,w,f,e
w,c,y,e
h,w,f,e
k,w,f,e
g,c,s,e
k,w,s,e
n,w,f,e
h,w,f,e
w,c,s,p
h,w,s,e
w,c,y,e
p,w,s,e
h,w,s,e
h,w,f,e
p,w,s,e
p,w,f,e
p,c,f,e
g,c,y,e
n,c,f,e
p,c,y,p
h,w,s,e
k,c,s,p
n,w,s,e
k,w,f,e
k,w,f,e
n,w,f,e
n,w,s,e
g,c,s,e
k,w,s,e
k,w,s,e
p,c,y,p
n,w,f,e
n,c,y,p
n,w,f,e
p,c,f,e
k,w,f,e
w,c,s,p
h,w,s,e
w,c,s,p
p,c,f,e
p,w,f,e
n,c,y,e
h,w,f,e
p,w,s,e
n,w,f,e
p,w,f,e
n,w,f,e
n,w,f,e
k,w,f,e
w,c,f,e
p,w,s,e
p,w,s,e
w,c,y,e
n,c,y,e
k,w,s,e
k,w,f,e
h,w,s,e
p,w,f,e
n,w,f,e
k,w,s,e
n,w,s,e
p,c,f,e
k,w,s,e
k,w,f,e
p,w,s,e
p,c,f,e
p,c,s,p
p,c,s,p
u,c,f,e
n,w,s,e
k,w,f,e
h,w,s,e
h,w,f,e
h,w,s,e
n,w,f,e
p,w,s,e
n,w,s,e
n,c,f,e
k,c,y,p
h,w,f,e
n,c,f,e
k,c,s,p
k,c,s,p
n,c,s,p
h,w,f,e
h,w,s,e
h,w,f,e
h,w,s,e
k,w,s,e
p,c,s,p
n,c,s,p
p,w,s,e
k,w,s,e
h,w,s,e
w,c,f,e
n,c,f,e
p,w,f,e
n,w,f,e
k,w,f,e
n,c,s,e
n,w,s,e
h,w,s,e
n,w,f,e
p,w,f,e
n,w,s,e
h,w,s,e
h,w,s,e
p,w,s,e
p,w,s,e
n,w,s,e
p,w,f,e
h,w,f,e
n,w,f,e
h,w,f,e
p,w,f,e
g,c,y,e
n,c,s,e
p,w,s,e
k,c,y,p
k,w,f,e
w,c,s,p
n,c,y,e
w,c,s,p
g,c,y,e
n,c,y,e
n,c,y,e
n,w,s,e
p,w,s,e
p,w,s,e
n,w,s,e
h,w,s,e
n,w,s,e
n,w,s,e
n,c,s,e
p,w,s,e
w,c,s,e
n,c,y,p
p,w,s,e
h,w,s,e
n,w,s,e
h,w,f,e
p,c,y,e
n,c,f,e
n,c,y,e
w,c,f,e
p,w,f,e
h,w,s,e
n,w,s,e
k,w,f,e
n,w,s,e
n,w,f,e
k,w,f,e
k,w,s,e
w,c,f,e
k,w,s,e
n,w,f,e
w,c,y,p
n,c,f,e
p,w,f,e
n,w,f,e
n,c,y,p
k,w,f,e
n,c,f,e
p,w,f,e
h,w,f,e
w,c,f,e
h,w,s,e
p,w,f,e
u,c,f,e
w,c,y,e
k,c,y,e
