@relation ad.arff.digitized.arff.binarized.arff
@attribute 1:822 {0,1}
@attribute 1243:1946 {0,1}
@attribute 351:1946 {0,1}
@attribute 1399:2134 {0,1}
@attribute 0:650 {0,1}
@attribute 1483:1946 {0,1}
@attribute 351:2134 {0,1}
@attribute 1243:2134 {0,1}
@attribute 2:1004 {0,1}
@attribute 1399:1946 {0,1}
@attribute 1229:1946 {0,1}
@attribute 968:2134 {0,1}
@attribute 1229:2134 {0,1}
@attribute 398:2134 {0,1}
@attribute 1483:2134 {0,1}
@attribute 1344:2134 {0,1}
@attribute 1247:1946 {0,1}
@attribute 968:1946 {0,1}
@attribute 1455:1946 {0,1}
@attribute 1278:2134 {0,1}
@attribute 1344:1946 {0,1}
@attribute 398:1946 {0,1}
@attribute 1022:1946 {0,1}
@attribute 1455:2134 {0,1}
@attribute 1153:1946 {0,1}
@attribute 1247:2134 {0,1}
@attribute 1022:2134 {0,1}
@attribute 1532:2134 {0,1}
@attribute 1153:2134 {0,1}
@attribute 1060:1946 {0,1}
@attribute 1435:2134 {0,1}
@attribute 1143:1946 {0,1}
@attribute 874:1946 {0,1}
@attribute 1362:1946 {0,1}
@attribute 1143:2134 {0,1}
@attribute 1435:1946 {0,1}
@attribute 1060:2134 {0,1}
@attribute 874:2134 {0,1}
@attribute 1532:1946 {0,1}
@attribute 1362:2134 {0,1}
@attribute 167:2134 {0,1}
@attribute 386:1946 {0,1}
@attribute 1047:1946 {0,1}
@attribute 1276:1946 {0,1}
@attribute 1278:1946 {0,1}
@attribute 1047:2134 {0,1}
@attribute 167:1946 {0,1}
@attribute 386:2134 {0,1}
@attribute 1276:2134 {0,1}
@attribute 1394:1946 {0,1}
@attribute 983:2134 {0,1}
@attribute 1394:2134 {0,1}
@attribute 1302:2134 {0,1}
@attribute 1513:2134 {0,1}
@attribute 1254:1946 {0,1}
@attribute 1424:2134 {0,1}
@attribute 983:1946 {0,1}
@attribute 330:1946 {0,1}
@attribute 1513:1946 {0,1}
@attribute 1218:2134 {0,1}
@attribute 1385:1946 {0,1}
@attribute 1302:1946 {0,1}
@attribute 1198:2134 {0,1}
@attribute 1385:2134 {0,1}
@attribute 113:1946 {0,1}
@attribute 1154:2134 {0,1}
@attribute 1335:2134 {0,1}
@attribute 1211:1946 {0,1}
@attribute 1422:2134 {0,1}
@attribute 1254:2134 {0,1}
@attribute 330:2134 {0,1}
@attribute 1035:1946 {0,1}
@attribute 1218:1946 {0,1}
@attribute 1555:2134 {0,1}
@attribute 113:2134 {0,1}
@attribute 1424:1946 {0,1}
@attribute 1211:2134 {0,1}
@attribute 972:2134 {0,1}
@attribute 1198:1946 {0,1}
@attribute 1335:1946 {0,1}
@attribute 1555:1946 {0,1}
@attribute 1154:1946 {0,1}
@attribute 1035:2134 {0,1}
@attribute 972:1946 {0,1}
@attribute 1423:1946 {0,1}
@attribute 1046:1946 {0,1}
@attribute 1422:1946 {0,1}
@attribute 1116:2134 {0,1}
@attribute 190:2134 {0,1}
@attribute 1118:1946 {0,1}
@attribute 1046:2134 {0,1}
@attribute 1271:2134 {0,1}
@attribute 1108:1946 {0,1}
@attribute 1040:2134 {0,1}
@attribute 1116:1946 {0,1}
@attribute 1327:2134 {0,1}
@attribute 1293:1946 {0,1}
@attribute 1118:2134 {0,1}
@attribute 1391:2134 {0,1}
@attribute 1271:1946 {0,1}
@attribute class {0,1}
@data
1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1
1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
